,Mean,2.5%,97.5%,ESS,Rhat
mu_beta_Trust_Search_Engines[1],-0.11,-1.71,1.4,5386,1.0
mu_beta_Trust_Search_Engines[2],-0.13,-1.7,1.42,5067,1.0
"beta_Trust_Family_and_friends[1,1]",-0.2,-2.17,1.77,5025,1.0
"beta_Trust_Family_and_friends[2,1]",-0.28,-2.19,1.68,5172,1.0
"beta_Trust_Family_and_friends[1,2]",-0.26,-2.23,1.73,4851,1.0
"beta_Trust_Family_and_friends[2,2]",-0.03,-1.96,1.88,5198,1.0
mu_beta_Trust_Family_and_friends[1],-0.17,-1.76,1.36,5034,1.0
mu_beta_Trust_Family_and_friends[2],-0.09,-1.7,1.47,5077,1.0
"beta_Trust_Work_Guidelines[1,1]",-0.36,-2.3,1.52,5374,1.0
"beta_Trust_Work_Guidelines[2,1]",-0.17,-1.99,1.76,4829,1.0
"beta_Trust_Work_Guidelines[1,2]",-0.07,-1.97,1.83,5023,1.0
"beta_Trust_Work_Guidelines[2,2]",-0.18,-1.98,1.76,4947,1.0
mu_beta_Trust_Work_Guidelines[1],-0.18,-1.75,1.42,4876,1.0
mu_beta_Trust_Work_Guidelines[2],-0.09,-1.69,1.48,4395,1.0
"beta_Trust_Other[1,1]",-1.06,-2.99,0.89,4139,1.0
"beta_Trust_Other[2,1]",-0.49,-2.44,1.48,5320,1.0
"beta_Trust_Other[1,2]",0.59,-1.39,2.65,5110,1.0
"beta_Trust_Other[2,2]",0.14,-1.82,2.08,5510,1.0
mu_beta_Trust_Other[1],-0.53,-2.12,1.01,4781,1.0
mu_beta_Trust_Other[2],0.24,-1.37,1.83,5070,1.0
"beta_Trust_None_of_these[1,1]",-0.21,-2.13,1.73,5050,1.0
"beta_Trust_None_of_these[2,1]",-0.33,-2.3,1.61,5075,1.0
"beta_Trust_None_of_these[1,2]",-0.23,-2.13,1.66,4853,1.0
"beta_Trust_None_of_these[2,2]",0.02,-1.98,1.94,5095,1.0
mu_beta_Trust_None_of_these[1],-0.19,-1.77,1.39,5084,1.0
mu_beta_Trust_None_of_these[2],-0.08,-1.76,1.48,4545,1.0
mu_beta,5.87,4.71,7.04,5257,1.0
beta[1],9.44,8.52,10.38,5230,1.0
beta[2],8.15,7.63,8.68,4643,1.0
mu_delta[1],1.8,0.39,4.17,4239,1.0
mu_delta[2],1.52,0.33,3.52,4773,1.0
mu_delta[3],1.34,0.29,3.17,4609,1.0
"delta[1,1]",0.45,0.4,0.5,5171,1.0
"delta[2,1]",0.38,0.36,0.41,5104,1.0
"delta[1,2]",0.33,0.28,0.4,4948,1.0
"delta[2,2]",0.3,0.26,0.34,4646,1.0
"delta[1,3]",0.22,0.14,0.29,5228,1.0
"delta[2,3]",0.32,0.27,0.36,5032,1.0
mu_alpha[1],-2.01,-3.47,-0.56,4941,1.0
mu_alpha[2],0.36,-1.08,1.81,5136,1.0
mu_alpha[3],1.89,0.42,3.32,5528,1.0
"alpha[1,1]",-3.4,-4.99,-1.8,4600,1.0
"alpha[2,1]",-2.6,-4.21,-1.06,5431,1.0
"alpha[1,2]",0.7,-0.88,2.27,4529,1.0
"alpha[2,2]",0.4,-1.21,1.96,5369,1.0
"alpha[1,3]",3.12,1.53,4.7,4531,1.0
"alpha[2,3]",2.53,0.92,4.11,5340,1.0
